,Indegree
20091,1
20100,3
20101,193
20120,1
20124,1
20134,3
20136,30
20141,1
20150,1
20152,2
20164,1
20174,1
20206,27
20235,7
20238,15
20251,9
20260,23
20263,1
20267,6
20276,1
20280,1
20283,7
20288,1
20294,2
20295,18
20299,6
20309,15
20332,11
20347,1
20359,4
20368,3
20375,99
20387,78
20395,3
20396,1
20399,15
20410,14
20422,3
20431,6
20432,1
20435,1
20437,19
20448,1
20453,5
20456,1
20458,1
20463,1
20468,24
20474,35
20483,1
20515,231
20537,12
20545,42
20569,1
20590,5
20591,12
20598,1
20599,6
20603,1005
20608,6
20611,8
20614,1
20619,1
20651,10
20656,39
20659,1
20660,9
20687,38
20705,1
20706,6
20713,1
20740,11
20778,1
20781,1
20782,14
20789,1
20796,1
20808,5
20813,162
20824,1
20833,13
20838,1
20853,2
20867,3
20875,4
20887,1
20896,14
20902,2
20904,4
20921,18
20924,467
20928,1
20930,18
20945,1
20962,217
20967,1
20970,41
20978,1
20985,7
20993,4
21009,2
21011,81
21028,3
21033,823
21039,2
21045,1
21048,2
21066,10
21068,431
21070,10
21079,4
21081,471
21086,9
21090,1
21098,12
21101,2
21102,40
21112,103
21113,1
21116,1
21126,1
21130,3
21161,1
21169,19
21178,1
21185,9
21222,1
21224,75
21227,168
21231,6
21234,13
21240,3
21244,6
21248,21
21254,79
21265,3
21281,274
21282,45
21298,44
21314,2
21321,1
21325,1
21355,9
21393,1
21398,5
21408,2
21411,9
21413,1
21417,2
21436,4
21444,2
21459,6
21464,3
21466,1
21472,5
21489,1
21501,6
21506,3
21509,5
21516,474
21519,6
21532,1
21545,1
21568,24
21570,113
21572,2
21590,2
21611,3335
21613,1
21625,1
21635,632
21636,2
21640,3
21662,4
21669,9
21678,8
21684,3
21686,1
21687,1
21703,3
21704,2
21708,6
21710,8
21721,4
21735,1
21740,8
21742,4
21760,1
21761,30
21781,1
21796,75
21810,657
21815,4
21827,19208
21837,1
21863,4
21873,1
21886,69
21892,203
21902,1
21908,5
21917,1
21928,1
21942,3
21948,2
21950,2
21956,468
21959,1
21960,1
21961,10
21963,1
21965,1
21971,1
21977,1
21985,2
21989,2
21996,1
22001,39
22034,1
22042,81
